rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,complement_nb,Complement Naive Bayes,probabilistic,low,count_basic__complement_nb,completed,0.7,0.6904761904761906,0.6821428571428572,0.6880952380952382,0.7142857142857143,0.006082296371459961,0.0013537406921386719,25.8642578125,69.16071428571429,99.36499662399292,100,82.91139218194145,
2,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.06634998321533203,0.003589153289794922,16.6875,64.78475935828878,99.05280090332032,100,80.4421778277229,
3,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.011931896209716797,0.004267692565917969,97.3369140625,62.308479532163744,97.72560878753663,85,76.56478550019739,
4,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.006648540496826172,0.001439809799194336,23.4580078125,57.51832579185521,99.40456001281738,100,76.51599118808385,
5,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.015053987503051758,0.005604743957519531,16.51171875,60.48232323232323,99.24315706253051,85,75.86390919028389,
6,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.06912088394165039,0.006085395812988281,49.5009765625,60.541666666666664,98.2301314163208,85,75.69394294993083,
7,count_basic,CountVectorizer Basic,count,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,count_basic__sgd_log,completed,0.6,0.5558667911609088,0.5408029878618115,0.5833333333333334,0.6190476190476191,0.009394168853759766,0.0014672279357910156,16.828125,56.464052287581694,99.51903881072998,85,73.70903652031593,
8,hashing_word,HashingVectorizer Word,hashing,medium,complement_nb,Complement Naive Bayes,probabilistic,low,hashing_word__complement_nb,completed,0.6,0.5607142857142857,0.5458928571428572,0.5462962962962963,0.6190476190476191,0.01179647445678711,0.0049211978912353516,113.3994140625,56.831250000000004,97.36596099853516,85,73.48037969970704,
9,hashing_word,HashingVectorizer Word,hashing,medium,linear_svc,LinearSVC,margin_based,medium,hashing_word__linear_svc,completed,0.6,0.5851851851851851,0.5644444444444445,0.5959595959595959,0.6190476190476191,0.017843246459960938,0.006334781646728516,49.3564453125,58.577777777777776,98.52572471618652,70,72.42292272101508,
10,hashing_word,HashingVectorizer Word,hashing,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,hashing_word__sgd_log,completed,0.55,0.534965034965035,0.5155594405594405,0.5171957671957672,0.5714285714285714,0.021641969680786133,0.0031113624572753906,49.6259765625,53.58129370629371,98.69094690322876,70,69.70790091910729,
11,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.37321972846984863,0.015027999877929688,285.91015625,47.331250000000004,91.14079851150512,85,67.01034720230103,
12,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_3_5__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.0628349781036377,0.014703035354614258,285.765625,47.835714285714275,93.02549551010132,70,65.41474195916312,
13,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_char_3_5__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.041899681091308594,0.01808333396911621,402.9306640625,42.46063348416289,90.60498859405517,85,64.22434613510063,
14,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_word_1_2__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.012628555297851562,0.0025796890258789062,51.11328125,35.764939309056956,98.74718170166017,85,62.17015296031336,
15,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word_1_2__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.01934504508972168,0.002693653106689453,50.84375,35.764939309056956,98.7054355430603,85,62.16180372859339,
16,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_2__logreg_balanced,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.033106088638305664,0.004734992980957031,50.97265625,29.146527777777777,98.49781076431275,100,60.73015243064033,
17,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_char_3_5__sgd_log,completed,0.4,0.38413547237076645,0.3798128342245989,0.40454545454545454,0.41269841269841273,0.039899349212646484,0.006688833236694336,286.03515625,38.74532085561497,93.63857078552246,70,60.537640627692724,
18,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_word_1_2__multinomial_nb,completed,0.3,0.27481146304675713,0.278552036199095,0.2722222222222222,0.29365079365079366,0.009511232376098633,0.002371072769165039,69.4619140625,28.166968325791853,98.41142995834352,100,60.174118570854226,
19,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,complement_nb,Complement Naive Bayes,probabilistic,low,tfidf_char_3_5__complement_nb,completed,0.35,0.3512820512820513,0.34884615384615386,0.3666666666666667,0.35714285714285715,0.034453630447387695,0.006503582000732422,442.0556640625,35.05961538461539,90.56195001602173,85,60.14517846474281,
20,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,complement_nb,Complement Naive Bayes,probabilistic,low,tfidf_word_1_2__complement_nb,completed,0.25,0.24155844155844156,0.24454545454545454,0.2392857142857143,0.24603174603174605,0.009478092193603516,0.003702402114868164,75.7431640625,24.411688311688312,98.20612403869629,100,58.06765337916784,
